Brand,Model,Motor,Year,Km,Energy,Price
AUDI Q2,Q 2,1.4 TFSI 150 DESIGN LUXE,2018,75095,Essence,27570
AUDI RS Q3 II SPORTBACK,R S,2.5 TFSI 400 RS Q3,2021,56693,Essence,101960
AUDI TT III phase 2,T T,2.0 40 197 S LINE,2021,69240,Essence,43780
AUDI RS6 III AVANT phase 2,R S 6,4.0 TFSI 605 PERFORMANCE,2017,90178,Essence,80800
AUDI RS6 II,R S 6,5.0 TFSI 579,2009,157880,Essence,46770
AUDI Q3 II SPORTBACK,Q 3,1.5 35 150 S LINE,2023,4349,Essence,51120
AUDI Q2 phase 2,Q 2,1.5 35 150 S LINE PLUS,2023,24411,Essence,47560
AUDI S4 AVANT IV phase 2,S 4,3.0 TFSI 333 S4,2013,110400,Essence,39480
AUDI RS5 phase 2,R S 5,4.2 V8 450 RS,2015,58800,Essence,55540
AUDI RS Q3 phase 2,R S,2.5 TFSI 340 RS,2017,68076,Essence,55800
AUDI RS6 IV AVANT,R S 6,4.0 TFSI 600,2022,55396,Essence,148380
AUDI RS5 II,R S 5,2.9 TFSI 450 RS5,2018,45864,Essence,81780
AUDI Q3 II SPORTBACK,Q 3,1.5 35 150,2023,24,Essence,51960
AUDI A1 II SPORTBACK,A 1,1.0 30 116 BLUE EDITION,2020,31266,Essence,23740
AUDI Q3 II,Q 3,1.5 35 150 S LINE,2022,35161,Essence,49180
AUDI A3 IV SPORTBACK,A 3,1.5 35 150 S LINE,2023,15606,Essence,53620
